"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"15263",1000001,0.99290332755086,106.810522810523,-1,62,"Bayesian",NA,"Bayesian (Pooled)"
"15516",1000001,1,10.9010989010988,0,63,"Bayesian",NA,"Bayesian (Pooled)"
"15769",1000001,1,26.2077922077921,0,64,"Bayesian",NA,"Bayesian (Pooled)"
"15994",1000001,1,17.2789710289711,0,65,"Bayesian",NA,"Bayesian (Pooled)"
"16275",1000001,1,15.2185814185807,0,66,"Bayesian",NA,"Bayesian (Pooled)"
"16556",1000001,1,22.8979020979014,0,67,"Bayesian",NA,"Bayesian (Pooled)"
"16753",1000001,1,27.7924932210647,0,68,"Bayesian",NA,"Bayesian (Pooled)"
"16950",1000001,1,24.6168117596689,0,69,"Bayesian",NA,"Bayesian (Pooled)"
"17175",1000001,1,16.4178321678323,0,6,"Bayesian",NA,"Bayesian (Pooled)"
"17428",1000001,1,23.5096015096014,0,70,"Bayesian",NA,"Bayesian (Pooled)"
"17709",1000001,1,27.1108891108884,0,71,"Bayesian",NA,"Bayesian (Pooled)"
"17990",1000001,1,14.4109890109883,0,72,"Bayesian",NA,"Bayesian (Pooled)"
"18271",1000001,1,14.6485514485507,0,73,"Bayesian",NA,"Bayesian (Pooled)"
"18524",1000001,1,38.1838161838161,0,74,"Bayesian",NA,"Bayesian (Pooled)"
"18805",1000001,1,23.7126873126866,0,75,"Bayesian",NA,"Bayesian (Pooled)"
"19058",1000001,1,11.2138972138971,0,76,"Bayesian",NA,"Bayesian (Pooled)"
"19339",1000001,1,9.89210789210716,0,77,"Bayesian",NA,"Bayesian (Pooled)"
"19620",1000001,1,13.294305694305,0,78,"Bayesian",NA,"Bayesian (Pooled)"
"19873",1000001,1,20.4604284604284,0,79,"Bayesian",NA,"Bayesian (Pooled)"
"20126",1000001,1,24.6766566766566,0,7,"Bayesian",NA,"Bayesian (Pooled)"
"20407",1000001,1,10.0033966033958,0,80,"Bayesian",NA,"Bayesian (Pooled)"
"20632",1000001,1,19.6078921078922,0,81,"Bayesian",NA,"Bayesian (Pooled)"
"20913",1000001,1,18.4937062937056,0,82,"Bayesian",NA,"Bayesian (Pooled)"
"21166",1000001,1,57.3812853812853,0,83,"Bayesian",NA,"Bayesian (Pooled)"
"21419",1000001,1,65.4603174603174,0,84,"Bayesian",NA,"Bayesian (Pooled)"
"21672",1000001,1,17.0516150516149,0,85,"Bayesian",NA,"Bayesian (Pooled)"
"21953",1000001,1,19.4151848151842,0,86,"Bayesian",NA,"Bayesian (Pooled)"
"22206",1000001,1,9.88211788211779,0,87,"Bayesian",NA,"Bayesian (Pooled)"
"22459",1000001,1,20.4604284604284,0,88,"Bayesian",NA,"Bayesian (Pooled)"
"22656",1000001,1,38.1900956186671,0,89,"Bayesian",NA,"Bayesian (Pooled)"
"22937",1000001,1,16.2111888111882,0,8,"Bayesian",NA,"Bayesian (Pooled)"
"23190",1000001,1,16.7923187923187,0,90,"Bayesian",NA,"Bayesian (Pooled)"
"23443",1000001,1,13.7546897546897,0,91,"Bayesian",NA,"Bayesian (Pooled)"
"23696",1000001,0.988031454199365,117.218337218337,0,92,"Bayesian",NA,"Bayesian (Pooled)"
"23977",1000001,1,10.4769230769222,0,93,"Bayesian",NA,"Bayesian (Pooled)"
"24258",1000001,1,20.1702297702291,0,94,"Bayesian",NA,"Bayesian (Pooled)"
"24539",1000001,1,14.0471528471521,0,95,"Bayesian",NA,"Bayesian (Pooled)"
"24792",1000001,1,10.8245088245087,0,96,"Bayesian",NA,"Bayesian (Pooled)"
"25017",1000001,1,71.4927572427573,0,97,"Bayesian",NA,"Bayesian (Pooled)"
"25270",1000001,1,27.8903318903318,0,98,"Bayesian",NA,"Bayesian (Pooled)"
"25551",1000001,1,15.4259740259732,0,99,"Bayesian",NA,"Bayesian (Pooled)"
"25804",1000001,1,23.7731157731157,0,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.631417366121683,5170,-20,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.986392669061335,176,-2,100,"Consensus",1,"Consensus (10, 1)"
