"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"25","K15
(6)","BP","GO:1901576","organic substance biosynthetic process",1,"190/549",0.00163068944296328,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"26","K15
(6)","BP","GO:0009058","biosynthetic process",1,"191/549",0.00168357666814046,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"27","K15
(6)","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.5,"26/549",0.0017219427022993,0.0307079781910042,0.0187299030776415,"856847/853952/854232",3,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"28","K16
(17)","BP","GO:0006974","cellular response to DNA damage stimulus",0.647058823529412,"81/549",2.26101356236082e-06,0.000490639943032298,0.000416502498329625,"851399/851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"29","K16
(17)","BP","GO:0006281","DNA repair",0.588235294117647,"72/549",7.61296811361909e-06,0.000826007040327671,0.000701194431517548,"851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"30","K16
(17)","BP","GO:0007064","mitotic sister chromatid cohesion",0.352941176470588,"22/549",1.8807715870792e-05,0.00136042478132062,0.00115485974645214,"850584/854315/853371/855459/850297/850540",6,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"31","K16
(17)","BP","GO:0007062","sister chromatid cohesion",0.352941176470588,"25/549",4.23087365667249e-05,0.00229524895874482,0.00194842865767812,"850584/854315/853371/855459/850297/850540",6,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"32","K16
(17)","BP","GO:0033554","cellular response to stress",0.647058823529412,"110/549",5.62762383933535e-05,0.00244238874627154,0.0020733350987025,"851399/851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"33","K16
(17)","BP","GO:0006259","DNA metabolic process",0.588235294117647,"95/549",0.000105319636998955,0.0037132013156259,0.00315212335791672,"851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"34","K16
(17)","CC","GO:0000228","nuclear chromosome",0.470588235294118,"94/550",0.0035029313011156,0.0275230316516226,0.0215970200519909,"851399/850584/855407/850719/853371/855459/850297/850540",8,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"35","K16
(17)","CC","GO:0000790","nuclear chromatin",0.235294117647059,"30/550",0.0104454945512261,0.0441924769474948,0.0346773503320055,"851399/850584/855407/850719",4,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"36","K18
(11)","BP","GO:0006342","chromatin silencing",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
