"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"25","K16
(17)","GO:0043233","organelle lumen",0.588235294117647,"157/550",0.00780938530820714,0.0357930159959494,0.0280863857575871,"851399/850584/853752/855407/850719/853371/856304/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"26","K16
(17)","GO:0000790","nuclear chromatin",0.235294117647059,"30/550",0.0104454945512261,0.0441924769474948,0.0346773503320055,"851399/850584/855407/850719",4,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"27","K18
(11)","GO:0000788","nuclear nucleosome",0.818181818181818,"10/550",4.61305105530116e-17,1.66069837990842e-15,8.25493346738102e-16,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"28","K18
(11)","GO:0000786","nucleosome",0.818181818181818,"11/550",2.52872253121994e-16,4.55170055619589e-15,2.26254121214415e-15,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"29","K18
(11)","GO:0044815","DNA packaging complex",0.818181818181818,"13/550",3.26541047252844e-15,3.91849256703413e-14,1.9477887029117e-14,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"30","K18
(11)","GO:0000790","nuclear chromatin",0.818181818181818,"30/550",6.16710037459386e-11,4.44031226970758e-10,2.20717276564412e-10,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"31","K18
(11)","GO:0032993","protein-DNA complex",0.818181818181818,"30/550",6.16710037459386e-11,4.44031226970758e-10,2.20717276564412e-10,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"32","K18
(11)","GO:0000785","chromatin",0.818181818181818,"32/550",1.2007180345016e-10,7.20430820700961e-10,3.58108887482934e-10,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"33","K18
(11)","GO:0000228","nuclear chromosome",0.818181818181818,"94/550",3.62930283519786e-06,1.63318627583904e-05,8.11817739452152e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"34","K18
(11)","GO:0043596","nuclear replication fork",0.545454545454545,"30/550",6.04595367816883e-06,2.41838147126753e-05,1.20211944478211e-05,"852284/851811/852295/851810/852283/852294",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"35","K18
(11)","GO:0005657","replication fork",0.545454545454545,"34/550",1.32516650313675e-05,4.77059941129231e-05,2.3713505845605e-05,"852284/851811/852295/851810/852283/852294",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"36","K18
(11)","GO:0005694","chromosome",0.818181818181818,"121/550",3.46230708038946e-05,0.000113311868085473,5.63246127910247e-05,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"37","K18
(11)","GO:0032991","protein-containing complex",0.909090909090909,"179/550",8.82010330457707e-05,0.000264603099137312,0.000131527856296325,"855701/855976/852284/851811/852295/851810/855700/852283/855743/852294",10,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"38","K18
(11)","GO:0031981","nuclear lumen",0.818181818181818,"142/550",0.000140230132146381,0.000388329596713056,0.000193029331699472,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"39","K18
(11)","GO:0031974","membrane-enclosed lumen",0.818181818181818,"157/550",0.000332718151931147,0.00074861584184508,0.000372118985712467,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"40","K18
(11)","GO:0043233","organelle lumen",0.818181818181818,"157/550",0.000332718151931147,0.00074861584184508,0.000372118985712467,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"41","K18
(11)","GO:0043228","non-membrane-bounded organelle",0.818181818181818,"219/550",0.00530789448592975,0.0106157889718595,0.00527685416729859,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"42","K18
(11)","GO:0043232","intracellular non-membrane-bounded organelle",0.818181818181818,"219/550",0.00530789448592975,0.0106157889718595,0.00527685416729859,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"43","K18
(11)","GO:0005634","nucleus",0.909090909090909,"295/550",0.0104936467506696,0.0198826991065318,0.0098832130061708,"855701/855976/852284/851811/852295/851810/855700/852283/855743/852294",10,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"44","K21
(20)","GO:0005657","replication fork",0.4,"34/550",6.84916977515076e-06,0.000265509527316905,0.000168744883299721,"853500/853821/852245/855448/851391/851266/850793/855621",8,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"45","K21
(20)","GO:0061695","transferase complex, transferring phosphorus-containing groups",0.3,"17/550",1.00192274459209e-05,0.000265509527316905,0.000168744883299721,"853500/853821/852245/856305/855621/851102",6,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"46","K21
(20)","GO:0005694","chromosome",0.65,"121/550",3.04387447926321e-05,0.000438904624452667,0.000278946335302589,"853500/853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/851561/854786",13,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"47","K21
(20)","GO:0043596","nuclear replication fork",0.35,"30/550",3.31248773171824e-05,0.000438904624452667,0.000278946335302589,"853500/853821/852245/855448/851266/850793/855621",7,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"48","K21
(20)","GO:0005634","nucleus",0.95,"295/550",5.55239771356137e-05,0.000588554157637505,0.000374056267018871,"853500/855447/853821/855217/852245/855448/856305/851391/851671/853327/851266/850793/855621/855950/851561/852119/853747/854786/851691",19,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"49","K21
(20)","GO:0032993","protein-DNA complex",0.3,"30/550",0.000357686720611056,0.00315956603206433,0.00200806579992172,"853500/853821/852245/851266/850793/855621",6,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"50","K21
(20)","GO:0000228","nuclear chromosome",0.5,"94/550",0.000564853474344806,0.00405615925632849,0.00257789664751761,"853500/853821/852245/855448/856305/851266/850793/855621/851561/854786",10,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"51","K21
(20)","GO:0043228","non-membrane-bounded organelle",0.75,"219/550",0.00126857131101335,0.00611220722579162,0.00388462028252893,"853500/853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/851561/853747/854786/851691",15,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"52","K21
(20)","GO:0043232","intracellular non-membrane-bounded organelle",0.75,"219/550",0.00126857131101335,0.00611220722579162,0.00388462028252893,"853500/853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/851561/853747/854786/851691",15,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"53","K21
(20)","GO:0031981","nuclear lumen",0.55,"142/550",0.00441503535368202,0.0194997394787623,0.012393081694546,"853500/853821/852245/855448/856305/851266/850793/855621/851561/853747/854786",11,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"54","K21
(20)","GO:0032991","protein-containing complex",0.6,"179/550",0.00935213620382659,0.0287715378063655,0.0182857837101032,"853500/853821/852245/855448/856305/851671/851266/850793/855621/851561/854786/851102",12,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"55","K21
(20)","GO:0031974","membrane-enclosed lumen",0.55,"157/550",0.0103143248739801,0.0287715378063655,0.0182857837101032,"853500/853821/852245/855448/856305/851266/850793/855621/851561/853747/854786",11,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"56","K21
(20)","GO:0043233","organelle lumen",0.55,"157/550",0.0103143248739801,0.0287715378063655,0.0182857837101032,"853500/853821/852245/855448/856305/851266/850793/855621/851561/853747/854786",11,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"CC"
"57","K27
(9)","GO:0016020","membrane",1,"163/550",1.50441812908332e-05,0.000737164883250825,0.000427571468265784,"852751/850490/852129/856595/851949/855669/855458/854170/851462",9,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
"58","K27
(9)","GO:0098796","membrane protein complex",0.444444444444444,"15/550",4.20405864769206e-05,0.00102999436868456,0.000597418860461504,"852129/856595/855669/851462",4,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
