"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"133",100,1,35.4,0,14,"Consensus",10,"Consensus (100, 10)"
"134",1000,1,27,0,14,"Consensus",10,"Consensus (1000, 10)"
"135",10000,1,27,0,14,"Consensus",10,"Consensus (10000, 10)"
"136",1,0.972565674416143,194.866666666667,-2,14,"Consensus",30,"Consensus (1, 30)"
"137",10,0.987636927337428,46.9333333333334,-2,14,"Consensus",30,"Consensus (10, 30)"
"138",100,1,34.0000000000001,0,14,"Consensus",30,"Consensus (100, 30)"
"139",1000,1,26.6000000000001,0,14,"Consensus",30,"Consensus (1000, 30)"
"140",10000,1,26.6000000000001,0,14,"Consensus",30,"Consensus (10000, 30)"
"141",1,0.975095653022473,203.84,-2,14,"Consensus",50,"Consensus (1, 50)"
"142",10,0.987636927337428,45.36,-2,14,"Consensus",50,"Consensus (10, 50)"
"143",100,1,30,0,14,"Consensus",50,"Consensus (100, 50)"
"144",1000,1,23.28,0,14,"Consensus",50,"Consensus (1000, 50)"
"145",10000,1,23.28,0,14,"Consensus",50,"Consensus (10000, 50)"
"146",1,0.987636927337428,217.98,-2,14,"Consensus",100,"Consensus (1, 100)"
"147",10,0.987636927337428,40.4,-2,14,"Consensus",100,"Consensus (10, 100)"
"148",100,1,23.2400000000001,0,14,"Consensus",100,"Consensus (100, 100)"
"149",1000,1,19.2800000000001,0,14,"Consensus",100,"Consensus (1000, 100)"
"150",10000,1,19.2800000000001,0,14,"Consensus",100,"Consensus (10000, 100)"
"151",1,0.0997909852605456,200,-2,15,"Consensus",1,"Consensus (1, 1)"
"152",10,0.0997909852605456,30,-2,15,"Consensus",1,"Consensus (10, 1)"
"153",100,0.0997909852605456,30,-2,15,"Consensus",1,"Consensus (100, 1)"
"154",1000,0.0997909852605456,30,-2,15,"Consensus",1,"Consensus (1000, 1)"
"155",10000,0.0997909852605456,30,-2,15,"Consensus",1,"Consensus (10000, 1)"
"156",1,0.968715683019639,187.2,-2,15,"Consensus",10,"Consensus (1, 10)"
"157",10,1,14,0,15,"Consensus",10,"Consensus (10, 10)"
"158",100,1,11.6,0,15,"Consensus",10,"Consensus (100, 10)"
"159",1000,1,11.6,0,15,"Consensus",10,"Consensus (1000, 10)"
"160",10000,1,11.6,0,15,"Consensus",10,"Consensus (10000, 10)"
"161",1,0.968715683019639,210.133333333333,-2,15,"Consensus",30,"Consensus (1, 30)"
"162",10,1,27.0666666666667,0,15,"Consensus",30,"Consensus (10, 30)"
"163",100,1,14.4,0,15,"Consensus",30,"Consensus (100, 30)"
"164",1000,1,11.1333333333333,0,15,"Consensus",30,"Consensus (1000, 30)"
"165",10000,1,11.1333333333333,0,15,"Consensus",30,"Consensus (10000, 30)"
"166",1,0.976646649509103,201.36,-2,15,"Consensus",50,"Consensus (1, 50)"
"167",10,1,37.6,0,15,"Consensus",50,"Consensus (10, 50)"
"168",100,1,18.6,0,15,"Consensus",50,"Consensus (100, 50)"
"169",1000,1,16.64,0,15,"Consensus",50,"Consensus (1000, 50)"
"170",10000,1,16.64,0,15,"Consensus",50,"Consensus (10000, 50)"
"171",1,0.976646649509103,195.48,-2,15,"Consensus",100,"Consensus (1, 100)"
"172",10,1,31.2,0,15,"Consensus",100,"Consensus (10, 100)"
"173",100,1,17.48,0,15,"Consensus",100,"Consensus (100, 100)"
"174",1000,1,15.36,0,15,"Consensus",100,"Consensus (1000, 100)"
"175",10000,1,15.04,0,15,"Consensus",100,"Consensus (10000, 100)"
"176",1,0.230115127550128,244,-2,16,"Consensus",1,"Consensus (1, 1)"
"177",10,0.911124546553809,30,-2,16,"Consensus",1,"Consensus (10, 1)"
"178",100,0.911124546553809,30,-2,16,"Consensus",1,"Consensus (100, 1)"
"179",1000,0.911124546553809,30,-2,16,"Consensus",1,"Consensus (1000, 1)"
"180",10000,0.911124546553809,30,-2,16,"Consensus",1,"Consensus (10000, 1)"
"181",1,0.969298245614035,208.4,-2,16,"Consensus",10,"Consensus (1, 10)"
"182",10,1,22.2,0,16,"Consensus",10,"Consensus (10, 10)"
"183",100,1,22.2,0,16,"Consensus",10,"Consensus (100, 10)"
"184",1000,1,22.2,0,16,"Consensus",10,"Consensus (1000, 10)"
"185",10000,1,22.2,0,16,"Consensus",10,"Consensus (10000, 10)"
"186",1,0.977077810697022,193.066666666667,-2,16,"Consensus",30,"Consensus (1, 30)"
"187",10,1,25.8,0,16,"Consensus",30,"Consensus (10, 30)"
"188",100,1,19.6666666666667,0,16,"Consensus",30,"Consensus (100, 30)"
"189",1000,1,19.6666666666667,0,16,"Consensus",30,"Consensus (1000, 30)"
"190",10000,1,19.6666666666667,0,16,"Consensus",30,"Consensus (10000, 30)"
"191",1,0.977077810697022,187.24,-2,16,"Consensus",50,"Consensus (1, 50)"
"192",10,1,31.6,0,16,"Consensus",50,"Consensus (10, 50)"
"193",100,1,23.08,0,16,"Consensus",50,"Consensus (100, 50)"
"194",1000,1,21.88,0,16,"Consensus",50,"Consensus (1000, 50)"
"195",10000,1,21.88,0,16,"Consensus",50,"Consensus (10000, 50)"
"196",1,0.977077810697022,200.58,-2,16,"Consensus",100,"Consensus (1, 100)"
"197",10,1,37.68,0,16,"Consensus",100,"Consensus (10, 100)"
"198",100,1,22.4,0,16,"Consensus",100,"Consensus (100, 100)"
"199",1000,1,21.48,0,16,"Consensus",100,"Consensus (1000, 100)"
"200",10000,1,21.48,0,16,"Consensus",100,"Consensus (10000, 100)"
"201",1,0.111566128314851,182,-2,17,"Consensus",1,"Consensus (1, 1)"
"202",10,1,0,0,17,"Consensus",1,"Consensus (10, 1)"
"203",100,1,0,0,17,"Consensus",1,"Consensus (100, 1)"
"204",1000,1,0,0,17,"Consensus",1,"Consensus (1000, 1)"
"205",10000,1,0,0,17,"Consensus",1,"Consensus (10000, 1)"
"206",1,0.964678535861544,151,-2,17,"Consensus",10,"Consensus (1, 10)"
"207",10,1,24.2,0,17,"Consensus",10,"Consensus (10, 10)"
"208",100,1,18.8,0,17,"Consensus",10,"Consensus (100, 10)"
"209",1000,1,18.8,0,17,"Consensus",10,"Consensus (1000, 10)"
"210",10000,1,5.6,0,17,"Consensus",10,"Consensus (10000, 10)"
"211",1,1,189.066666666667,0,17,"Consensus",30,"Consensus (1, 30)"
"212",10,1,24.2666666666667,0,17,"Consensus",30,"Consensus (10, 30)"
"213",100,1,18.3333333333333,0,17,"Consensus",30,"Consensus (100, 30)"
"214",1000,1,18.3333333333333,0,17,"Consensus",30,"Consensus (1000, 30)"
"215",10000,1,13.9333333333333,0,17,"Consensus",30,"Consensus (10000, 30)"
"216",1,1,179.36,0,17,"Consensus",50,"Consensus (1, 50)"
