"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"14900",1000001,1,4.41602841602843,0,63,"Bayesian",NA,"Bayesian (Pooled)"
"15181",1000001,1,15.60999000999,0,64,"Bayesian",NA,"Bayesian (Pooled)"
"15406",1000001,1,10.6498501498502,0,65,"Bayesian",NA,"Bayesian (Pooled)"
"15687",1000001,1,18.4361638361638,0,66,"Bayesian",NA,"Bayesian (Pooled)"
"15940",1000001,1,12.6664446664447,0,67,"Bayesian",NA,"Bayesian (Pooled)"
"16193",1000001,1,29.9353979353979,0,68,"Bayesian",NA,"Bayesian (Pooled)"
"16390",1000001,1,32.9718852575995,0,69,"Bayesian",NA,"Bayesian (Pooled)"
"16643",1000001,1,26.5969585969586,0,6,"Bayesian",NA,"Bayesian (Pooled)"
"16924",1000001,1,19.5994005994006,0,70,"Bayesian",NA,"Bayesian (Pooled)"
"17149",1000001,1,10.8896103896104,0,71,"Bayesian",NA,"Bayesian (Pooled)"
"17402",1000001,1,6.57897657897658,0,72,"Bayesian",NA,"Bayesian (Pooled)"
"17655",1000001,1,24.3500943500943,0,73,"Bayesian",NA,"Bayesian (Pooled)"
"17880",1000001,1,30.3898601398601,0,74,"Bayesian",NA,"Bayesian (Pooled)"
"18133",1000001,1,19.7538017538017,0,75,"Bayesian",NA,"Bayesian (Pooled)"
"18414",1000001,1,21.9976023976024,0,76,"Bayesian",NA,"Bayesian (Pooled)"
"18667",1000001,1,16.3849483849484,0,77,"Bayesian",NA,"Bayesian (Pooled)"
"18892",1000001,1,11.6458541458541,0,78,"Bayesian",NA,"Bayesian (Pooled)"
"19145",1000001,0.988526589278121,18.044178044178,-2,79,"Bayesian",NA,"Bayesian (Pooled)"
"19398",1000001,1,7.08757908757909,0,7,"Bayesian",NA,"Bayesian (Pooled)"
"19651",1000001,1,6.59007659007659,0,80,"Bayesian",NA,"Bayesian (Pooled)"
"19904",1000001,1,7.08669108669107,0,81,"Bayesian",NA,"Bayesian (Pooled)"
"20185",1000001,1,29.5680319680319,0,82,"Bayesian",NA,"Bayesian (Pooled)"
"20438",1000001,1,7.08669108669109,0,83,"Bayesian",NA,"Bayesian (Pooled)"
"20691",1000001,1,43.4711954711955,0,84,"Bayesian",NA,"Bayesian (Pooled)"
"20944",1000001,1,26.3780663780664,0,85,"Bayesian",NA,"Bayesian (Pooled)"
"21197",1000001,1,0.536574536574531,0,86,"Bayesian",NA,"Bayesian (Pooled)"
"21478",1000001,1,20.6325674325674,0,87,"Bayesian",NA,"Bayesian (Pooled)"
"21759",1000001,1,17.2051948051948,0,88,"Bayesian",NA,"Bayesian (Pooled)"
"21984",1000001,0.99270710338053,4.92782217782218,-2,89,"Bayesian",NA,"Bayesian (Pooled)"
"22265",1000001,1,25.0105894105894,0,8,"Bayesian",NA,"Bayesian (Pooled)"
"22546",1000001,1,31.027972027972,0,90,"Bayesian",NA,"Bayesian (Pooled)"
"22827",1000001,1,16.5626373626373,0,91,"Bayesian",NA,"Bayesian (Pooled)"
"23080",1000001,1,23.0922410922411,0,92,"Bayesian",NA,"Bayesian (Pooled)"
"23361",1000001,1,31.3834165834166,0,93,"Bayesian",NA,"Bayesian (Pooled)"
"23614",1000001,1,9.1086691086691,0,94,"Bayesian",NA,"Bayesian (Pooled)"
"23867",1000001,1,20.3678543678544,0,95,"Bayesian",NA,"Bayesian (Pooled)"
"24092",1000001,1,18.6378621378621,0,96,"Bayesian",NA,"Bayesian (Pooled)"
"24345",1000001,1,31.2325452325452,0,97,"Bayesian",NA,"Bayesian (Pooled)"
"24598",1000001,1,7.07470307470307,0,98,"Bayesian",NA,"Bayesian (Pooled)"
"24823",1000001,1,25.1296203796204,0,99,"Bayesian",NA,"Bayesian (Pooled)"
"25104",1000001,1,31.5896103896104,0,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.174545329528655,172,-2,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.987978575367954,12,-2,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0.987978575367954,12,-2,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,0.987978575367954,12,-2,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.987978575367954,12,-2,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.975793479850295,196.6,-2,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,16.8,0,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,6,0,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,6,0,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,6,0,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.987978575367954,222.866666666667,-2,100,"Consensus",30,"Consensus (1, 30)"
"12",10,0.987978575367954,43.4666666666667,-2,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,22,0,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,22,0,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,22,0,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.987978575367954,219.08,-2,100,"Consensus",50,"Consensus (1, 50)"
