"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"15","K2
(5)","CC","GO:0032156","septin cytoskeleton",0.4,"10/550",0.00289443316377354,0.0150510524516224,0.0121870870053623,"850334/853554",2,"K2 (5)","Consensus clustering",NA,"Consensus Clustering",2,"ALL"
"16","K6
(6)","MF","GO:0016740","transferase activity",0.666666666666667,"86/546",0.0067232175739798,0.0345872996785561,0.025030282662113,"856642/853237/850906/851656",4,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"ALL"
"17","K6
(6)","MF","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups",0.333333333333333,"13/546",0.00744838055904864,0.0345872996785561,0.025030282662113,"856642/853237",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"ALL"
"18","K6
(6)","MF","GO:0016746","transferase activity, transferring acyl groups",0.333333333333333,"14/546",0.00864682491963902,0.0345872996785561,0.025030282662113,"856642/853237",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"ALL"
"19","K6
(6)","MF","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.333333333333333,"14/546",0.00864682491963902,0.0345872996785561,0.025030282662113,"854942/850906",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"ALL"
"20","K10
(7)","MF","GO:0019899","enzyme binding",0.428571428571429,"22/546",0.00179629865405576,0.0215555838486691,0.0207992475732772,"853891/852961/854183",3,"K10 (7)","Consensus clustering",NA,"Consensus Clustering",10,"ALL"
"21","K11
(9)","BP","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.555555555555556,"17/549",1.77374656163158e-06,0.000356523058887948,0.000263261331779003,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"22","K11
(9)","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.555555555555556,"26/549",1.78180908234136e-05,0.00119381208516871,0.000881526598632041,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"23","K11
(9)","BP","GO:0044843","cell cycle G1/S phase transition",0.555555555555556,"26/549",1.78180908234136e-05,0.00119381208516871,0.000881526598632041,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"24","K11
(9)","BP","GO:0044770","cell cycle phase transition",0.666666666666667,"63/549",0.000116269391144053,0.00303454833356914,0.00224075053696386,"853952/855407/853770/855743/851191/854232",6,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"25","K11
(9)","BP","GO:0044772","mitotic cell cycle phase transition",0.666666666666667,"63/549",0.000116269391144053,0.00303454833356914,0.00224075053696386,"853952/855407/853770/855743/851191/854232",6,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"26","K14
(3)","BP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",1,"14/549",1.32712675526186e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"27","K14
(3)","BP","GO:1904029","regulation of cyclin-dependent protein kinase activity",1,"14/549",1.32712675526186e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"28","K14
(3)","BP","GO:0071900","regulation of protein serine/threonine kinase activity",1,"15/549",1.65890844407732e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"29","K14
(3)","BP","GO:0051984","positive regulation of chromosome segregation",0.666666666666667,"11/549",0.00108485320337408,0.00655628675082597,0.00258180167393374,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"30","K14
(3)","BP","GO:0044770","cell cycle phase transition",1,"63/549",0.00144784424665395,0.00711090314597341,0.00280020419228033,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"31","K14
(3)","BP","GO:0044772","mitotic cell cycle phase transition",1,"63/549",0.00144784424665395,0.00711090314597341,0.00280020419228033,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"32","K14
(3)","BP","GO:0051495","positive regulation of cytoskeleton organization",0.666666666666667,"13/549",0.0015347272976921,0.00711090314597341,0.00280020419228033,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"33","K14
(3)","BP","GO:0070925","organelle assembly",0.666666666666667,"23/549",0.00491653065440401,0.0119894344028449,0.00472132214273331,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"34","K14
(4)","MF","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",1,"15/546",3.72697104590734e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"35","K14
(4)","MF","GO:0019887","protein kinase regulator activity",1,"15/546",3.72697104590734e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"36","K14
(4)","MF","GO:0019207","kinase regulator activity",1,"16/546",4.96929472787646e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"37","K14
(4)","MF","GO:0098772","molecular function regulator",1,"44/546",3.70652048683492e-05,3.70652048683492e-05,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"ALL"
"38","K15
(2)","BP","GO:0032446","protein modification by small protein conjugation",1,"12/549",0.000438753938813769,0.0111483387180408,0.00736854701070014,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"39","K15
(2)","BP","GO:0070647","protein modification by small protein conjugation or removal",1,"13/549",0.000518527382234454,0.0111483387180408,0.00736854701070014,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"40","K15
(2)","BP","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0145785967851302,0.00963579224476172,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"41","K15
(2)","BP","GO:0018193","peptidyl-amino acid modification",1,"27/549",0.00233337322005505,0.0250837621155918,0.0165792307740753,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"42","K15
(2)","CC","GO:1990234","transferase complex",1,"37/550",0.00441132637853949,0.0325948004636529,0.0245073687696639,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"43","K15
(2)","CC","GO:0000793","condensed chromosome",1,"38/550",0.00465640006623613,0.0325948004636529,0.0245073687696639,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"44","K16
(4)","BP","GO:0006260","DNA replication",1,"51/549",6.67489788149456e-05,0.00720888971201412,0.00463729747556464,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"45","K16
(4)","BP","GO:0007064","mitotic sister chromatid cohesion",0.75,"22/549",0.000218729111671328,0.0087828594795682,0.00564979264767545,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"46","K16
(4)","BP","GO:0006281","DNA repair",1,"72/549",0.000274792644717999,0.0087828594795682,0.00564979264767545,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"47","K16
(4)","BP","GO:0007062","sister chromatid cohesion",0.75,"25/549",0.000325291091835859,0.0087828594795682,0.00564979264767545,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"48","K16
(4)","BP","GO:0006974","cellular response to DNA damage stimulus",1,"81/549",0.000444389539870258,0.00959881406119756,0.00617467571188147,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
"49","K17
(2)","BP","GO:0006271","DNA strand elongation involved in DNA replication",1,"13/549",0.000518527382234454,0.0199433608551713,0.016374548912667,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"50","K17
(2)","BP","GO:0022616","DNA strand elongation",1,"16/549",0.000797734434206852,0.0199433608551713,0.016374548912667,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"51","K17
(2)","CC","GO:0005635","nuclear envelope",1,"14/550",0.000602748799470111,0.0108097367113761,0.00568933511125055,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"52","K17
(2)","CC","GO:0061695","transferase complex, transferring phosphorus-containing groups",1,"17/550",0.000900811392614671,0.0108097367113761,0.00568933511125055,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"53","K17
(2)","CC","GO:0032993","protein-DNA complex",1,"30/550",0.00288127173373075,0.0127400468384075,0.00670528780968815,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"54","K17
(2)","CC","GO:1990234","transferase complex",1,"37/550",0.00441132637853949,0.0132339791356185,0.00696525217664129,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"55","K17
(2)","MF","GO:0016779","nucleotidyltransferase activity",1,"10/546",0.000302449843734247,0.0057465470309507,0.00350205082218602,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"ALL"
"56","K19
(2)","BP","GO:0043414","macromolecule methylation",1,"10/549",0.00029915041282757,0.0372940847991704,0.0247087744489859,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"57","K19
(2)","BP","GO:0032259","methylation",1,"12/549",0.000438753938813769,0.0372940847991704,0.0247087744489859,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"58","K19
(2)","BP","GO:0016570","histone modification",1,"16/549",0.000797734434206852,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"59","K19
(2)","BP","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"60","K19
(2)","BP","GO:0016569","covalent chromatin modification",1,"20/549",0.00126307952082752,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"61","K19
(2)","BP","GO:0018193","peptidyl-amino acid modification",1,"27/549",0.00233337322005505,0.0446912586436339,0.0296096883892806,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"ALL"
"62","K21
(11)","CC","GO:0031090","organelle membrane",0.909090909090909,"89/550",7.54365241812987e-08,3.92269925742753e-06,2.54101976189638e-06,"855412/854499/855458/852543/853861/855198/854914/850296/856753/853088",10,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"63","K21
(11)","CC","GO:0016020","membrane",1,"163/550",1.21336003140484e-06,3.15473608165259e-05,2.04355373710289e-05,"855412/854499/855458/852543/853861/855198/854914/850296/856753/854716/853088",11,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"64","K21
(11)","CC","GO:0005789","endoplasmic reticulum membrane",0.545454545454545,"38/550",2.63176081468641e-05,0.000342128905909233,0.000221621963342013,"855412/854499/855458/853861/854914/853088",6,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"65","K21
(11)","CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.545454545454545,"38/550",2.63176081468641e-05,0.000342128905909233,0.000221621963342013,"855412/854499/855458/853861/854914/853088",6,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"66","K21
(11)","CC","GO:0016021","integral component of membrane",0.727272727272727,"110/550",0.000197934377526919,0.00205851752627996,0.0013334526486024,"854499/855458/852543/853861/855198/854914/854716/853088",8,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"67","K21
(11)","CC","GO:0031224","intrinsic component of membrane",0.727272727272727,"128/550",0.000620162003139374,0.0038883925528027,0.00251879679533778,"854499/855458/852543/853861/855198/854914/854716/853088",8,"K21 (11)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"68","K25
(2)","BP","GO:0016570","histone modification",1,"16/549",0.000797734434206852,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"ALL"
