"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Model","Chain","Cluster_plt","Ontology"
"25","K13
(10)","CC","GO:0009277","fungal-type cell wall",0.4,"30/550",0.00120890675426137,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",500,100,"CC(500,100)",NA,13,"ALL"
"26","K13
(10)","CC","GO:0030312","external encapsulating structure",0.4,"30/550",0.00120890675426137,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",500,100,"CC(500,100)",NA,13,"ALL"
"27","K13
(10)","CC","GO:0005576","extracellular region",0.4,"31/550",0.00137543079312686,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",500,100,"CC(500,100)",NA,13,"ALL"
"28","K13
(10)","CC","GO:0031225","anchored component of membrane",0.3,"18/550",0.00306990194630122,0.0165774705100266,0.0135721980783844,"853367/856546/850731",3,"K13 (10)","Consensus clustering",500,100,"CC(500,100)",NA,13,"ALL"
"29","K15
(17)","BP","GO:0016192","vesicle-mediated transport",0.411764705882353,"22/549",9.03125508714241e-07,0.000125534445711279,9.88684767434537e-05,"852129/851949/855458/854170/851055/851226/852675",7,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"30","K15
(17)","BP","GO:0006810","transport",0.647058823529412,"86/549",4.3041302571925e-06,0.000299137052874879,0.000235594498288432,"851539/850490/852129/851949/855669/855458/854170/851462/851055/851226/852675",11,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"31","K15
(17)","BP","GO:0071705","nitrogen compound transport",0.411764705882353,"47/549",0.000218275835293846,0.00454899172635574,0.00358269700523284,"851539/852129/855669/855458/851462/851226/852675",7,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"32","K15
(17)","BP","GO:0071702","organic substance transport",0.411764705882353,"59/549",0.00096156152023683,0.0121506410284472,0.00956960747412731,"851539/852129/855669/855458/851462/851226/852675",7,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"33","K15
(17)","CC","GO:0016021","integral component of membrane",0.705882352941177,"110/550",6.11035719637493e-06,0.000222223302879229,0.000163743486332063,"852751/850490/856595/855669/853580/855458/854170/856313/851462/851055/851226/852675",12,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"34","K15
(17)","CC","GO:0016020","membrane",0.823529411764706,"163/550",7.40744342930762e-06,0.000222223302879229,0.000163743486332063,"852751/850490/852129/856595/851949/855669/853580/855458/854170/856313/851462/851055/851226/852675",14,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"35","K15
(17)","CC","GO:0005783","endoplasmic reticulum",0.529411764705882,"61/550",1.71719243554142e-05,0.000343438487108284,0.000253059937869262,"852751/856595/853580/855458/854170/856313/851462/851226/852675",9,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"36","K15
(17)","CC","GO:0000139","Golgi membrane",0.176470588235294,"12/550",0.00455586205241737,0.0182234482096695,0.013427803943967,"852129/855458/852675",3,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"37","K15
(17)","CC","GO:0005794","Golgi apparatus",0.176470588235294,"17/550",0.0127798280700635,0.0451052755414006,0.0332354661884004,"852129/855458/852675",3,"K15 (17)","Consensus clustering",500,100,"CC(500,100)",NA,15,"ALL"
"38","K18
(17)","BP","GO:0006260","DNA replication",0.705882352941177,"51/549",5.00304876595371e-10,1.52592987361588e-07,1.11120346275393e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850793/855621/855950/853747",12,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"39","K18
(17)","BP","GO:0006261","DNA-dependent DNA replication",0.647058823529412,"47/549",4.76133449831332e-09,7.26103510992781e-07,5.28758725865321e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850793/855621/855950",11,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"40","K18
(17)","BP","GO:0034645","cellular macromolecule biosynthetic process",0.882352941176471,"156/549",2.96286472965726e-07,3.01224580848488e-05,2.1935595016059e-05,"853821/855217/852245/855448/856305/851391/856237/851671/853327/851266/850793/855621/854143/855950/853747",15,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"41","K18
(17)","BP","GO:0009059","macromolecule biosynthetic process",0.882352941176471,"160/549",4.32804298601521e-07,3.3001327768366e-05,2.40320281591897e-05,"853821/855217/852245/855448/856305/851391/856237/851671/853327/851266/850793/855621/854143/855950/853747",15,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"42","K18
(17)","BP","GO:0071897","DNA biosynthetic process",0.411764705882353,"24/549",1.772854353677e-06,0.000108144115574297,7.87520565528097e-05,"853821/852245/856305/851391/851266/855621/853747",7,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"43","K18
(17)","BP","GO:0006281","DNA repair",0.588235294117647,"72/549",7.61296811361909e-06,0.000232195527465382,0.000169088028628803,"853821/855448/856305/851391/851671/851266/850793/855621/855950/853747",10,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"44","K18
(17)","BP","GO:0006974","cellular response to DNA damage stimulus",0.588235294117647,"81/549",2.36660550455153e-05,0.000401008154937898,0.000292019743544077,"853821/855448/856305/851391/851671/851266/850793/855621/855950/853747",10,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"45","K18
(17)","BP","GO:0033554","cellular response to stress",0.647058823529412,"110/549",5.62762383933535e-05,0.000838472530044546,0.000610587416184294,"853821/855448/856305/851391/851671/853327/851266/850793/855621/855950/853747",11,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"46","K18
(17)","BP","GO:0006950","response to stress",0.647058823529412,"121/549",0.000147075708018529,0.00156107905150829,0.00113679958539517,"853821/855448/856305/851391/851671/853327/851266/850793/855621/855950/853747",11,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
