"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"26","K18
(17)","GO:0005694","chromosome",0.647058823529412,"121/550",0.000144504143133155,0.00137278935976497,0.000798575527841118,"853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/854786",11,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"27","K18
(17)","GO:0061695","transferase complex, transferring phosphorus-containing groups",0.235294117647059,"17/550",0.00116850119748162,0.00821714479212004,0.00478005652727205,"853821/852245/856305/855621",4,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"28","K18
(17)","GO:0032993","protein-DNA complex",0.294117647058824,"30/550",0.00134001766425182,0.00821714479212004,0.00478005652727205,"853821/852245/851266/850793/855621",5,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"29","K18
(17)","GO:0043228","non-membrane-bounded organelle",0.705882352941177,"219/550",0.00919452308888977,0.0349391877377811,0.0203247352491248,"853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/853747/854786",12,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"30","K18
(17)","GO:0043232","intracellular non-membrane-bounded organelle",0.705882352941177,"219/550",0.00919452308888977,0.0349391877377811,0.0203247352491248,"853821/855217/852245/855448/856305/851391/853327/851266/850793/855621/853747/854786",12,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"31","K18
(17)","GO:0031981","nuclear lumen",0.529411764705882,"142/550",0.0139894770936296,0.0443000107964939,0.025770089383002,"853821/852245/855448/856305/851266/850793/855621/853747/854786",9,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"CC"
"32","K20
(23)","GO:0005794","Golgi apparatus",0.260869565217391,"17/550",2.47363374495077e-05,0.00178101629636456,0.00130191249734251,"852845/856050/852114/851551/853690/852458",6,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"33","K20
(23)","GO:0000139","Golgi membrane",0.217391304347826,"12/550",5.32041730705107e-05,0.00191535023053838,0.00140010981764502,"852845/856050/852114/853690/852458",5,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"34","K20
(23)","GO:0031090","organelle membrane",0.478260869565217,"89/550",0.000282103516062491,0.00677048438549977,0.0049491844923244,"852845/853372/856050/852114/854141/851551/851315/854499/853690/852458/851464",11,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"35","K20
(23)","GO:0098588","bounding membrane of organelle",0.304347826086957,"42/550",0.000894752589280057,0.016105546607041,0.0117730603852639,"852845/856050/852114/854141/851315/853690/852458",7,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
