"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"14619",1000001,1,256.666933066932,0,99,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.487539861355169,10290,-20,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.705078326792692,5040,-1,100,"Consensus",1,"Consensus (10, 1)"
"3",100,1,0,0,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,1,0,0,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.98858270016633,210,-1,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.477387082479348,10387,-17,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,2533.6,0,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,63,0,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,149.6,0,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,139.6,0,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.513769234934978,10214,-18,100,"Consensus",30,"Consensus (1, 30)"
"12",10,1,1898.66666666667,0,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,85.5333333333335,0,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,92.6000000000001,0,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,138.266666666667,0,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.558375583020318,10247,-20,100,"Consensus",50,"Consensus (1, 50)"
"17",10,1,2107.32,0,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,77.1600000000001,0,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,65.1999999999999,0,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,127.56,0,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.60204232396931,10159.72,-20,100,"Consensus",100,"Consensus (1, 100)"
"22",10,1,2330.54,0,100,"Consensus",100,"Consensus (10, 100)"
"23",100,1,73.6800000000001,0,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,1,78.9000000000001,0,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,1,109.42,0,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.484983942422021,8036,-13,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.874386307504039,2184,-1,10,"Consensus",1,"Consensus (10, 1)"
"28",100,1,0,0,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,1,0,0,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,1,0,0,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.648869095411916,9078.6,-12,10,"Consensus",10,"Consensus (1, 10)"
"32",10,1,1302.8,0,10,"Consensus",10,"Consensus (10, 10)"
"33",100,1,80.4,0,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,20.4,0,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,1,61,0,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.714591354948359,9621.46666666667,-13,10,"Consensus",30,"Consensus (1, 30)"
"37",10,1,1419.46666666667,0,10,"Consensus",30,"Consensus (10, 30)"
"38",100,1,40.4000000000001,0,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,7.60000000000002,0,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,1,27.1333333333334,0,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0.722949267695049,9541.68,-14,10,"Consensus",50,"Consensus (1, 50)"
"42",10,1,1434.6,0,10,"Consensus",50,"Consensus (10, 50)"
"43",100,1,32.4000000000001,0,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,1,20.8799999999999,0,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,1,33.84,0,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0.722297716431929,9448.82,-15,10,"Consensus",100,"Consensus (1, 100)"
"47",10,1,1586.22,0,10,"Consensus",100,"Consensus (10, 100)"
"48",100,1,48.8200000000004,0,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,1,32.8800000000001,0,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,1,33.2200000000001,0,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.375434575751159,8936,-13,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.976056370185478,414,-2,11,"Consensus",1,"Consensus (10, 1)"
"53",100,1,0,0,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,0.997589186207334,42,-1,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,1,0,0,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.48596979079708,8636.8,-12,11,"Consensus",10,"Consensus (1, 10)"
"57",10,1,1494,0,11,"Consensus",10,"Consensus (10, 10)"
"58",100,1,83.6,0,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,1,31.4,0,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,1,64.8,0,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.671240130245836,8513.73333333333,-17,11,"Consensus",30,"Consensus (1, 30)"
"62",10,1,1266.6,0,11,"Consensus",30,"Consensus (10, 30)"
"63",100,1,60.2000000000002,0,11,"Consensus",30,"Consensus (100, 30)"
