"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"13605",1000001,0.72990784237911,6127.59440559441,-20,57,"Bayesian",NA,"Bayesian (Pooled)"
"13858",1000001,0.746796957493207,6982.2775002775,-20,58,"Bayesian",NA,"Bayesian (Pooled)"
"14139",1000001,0.649068266163928,7210.15724275724,-20,59,"Bayesian",NA,"Bayesian (Pooled)"
"14364",1000001,0.757261445407321,5998.49125874126,-20,5,"Bayesian",NA,"Bayesian (Pooled)"
"14589",1000001,0.563028022306719,9161.16958041958,-20,60,"Bayesian",NA,"Bayesian (Pooled)"
"14870",1000001,0.67731216251739,7912.24295704296,-20,61,"Bayesian",NA,"Bayesian (Pooled)"
"15123",1000001,0.797795941775859,4623.21833721834,-20,62,"Bayesian",NA,"Bayesian (Pooled)"
"15404",1000001,0.757238364595875,6639.87852147852,-20,63,"Bayesian",NA,"Bayesian (Pooled)"
"15685",1000001,0.751514221156204,6481.16703296703,-20,64,"Bayesian",NA,"Bayesian (Pooled)"
"15910",1000001,0.750288217106018,5723.88286713287,-20,65,"Bayesian",NA,"Bayesian (Pooled)"
"16191",1000001,0.831830657565593,5872.83256743257,-20,66,"Bayesian",NA,"Bayesian (Pooled)"
"16388",1000001,0.731524699848174,7472.26259454831,-20,67,"Bayesian",NA,"Bayesian (Pooled)"
"16641",1000001,0.764683596220887,6075.73093573094,-20,68,"Bayesian",NA,"Bayesian (Pooled)"
"16810",1000001,0.81919387427931,5250.60639360639,-20,69,"Bayesian",NA,"Bayesian (Pooled)"
"17063",1000001,0.709683747769467,6152.37651237651,-20,6,"Bayesian",NA,"Bayesian (Pooled)"
"17288",1000001,0.763802556402271,6158.52622377622,-20,70,"Bayesian",NA,"Bayesian (Pooled)"
"17513",1000001,0.769268500098848,5984.02422577423,-20,71,"Bayesian",NA,"Bayesian (Pooled)"
"17738",1000001,0.846032884260539,5061.8021978022,-20,72,"Bayesian",NA,"Bayesian (Pooled)"
"17991",1000001,0.760218292289324,5598.5288045288,-20,73,"Bayesian",NA,"Bayesian (Pooled)"
"18244",1000001,0.739621736681363,6251.47918747919,-20,74,"Bayesian",NA,"Bayesian (Pooled)"
"18497",1000001,0.759531135189056,6472.55344655345,-20,75,"Bayesian",NA,"Bayesian (Pooled)"
"18750",1000001,0.752545316988932,5304.68065268065,-20,76,"Bayesian",NA,"Bayesian (Pooled)"
"19031",1000001,0.781745016458983,5740.63116883117,-20,77,"Bayesian",NA,"Bayesian (Pooled)"
"19284",1000001,0.770538372559167,7029.54312354312,-20,78,"Bayesian",NA,"Bayesian (Pooled)"
"19537",1000001,0.714916439139656,7475.38217338217,-20,79,"Bayesian",NA,"Bayesian (Pooled)"
"19790",1000001,0.707363436471073,6899.13686313686,-20,7,"Bayesian",NA,"Bayesian (Pooled)"
"20071",1000001,0.777237081331063,6535.86633366633,-20,80,"Bayesian",NA,"Bayesian (Pooled)"
"20324",1000001,0.777722356295514,6462.42557442557,-20,81,"Bayesian",NA,"Bayesian (Pooled)"
"20605",1000001,0.806905833498393,6024.89470529471,-20,82,"Bayesian",NA,"Bayesian (Pooled)"
"20858",1000001,0.72194577267132,6559.88478188478,-20,83,"Bayesian",NA,"Bayesian (Pooled)"
"21083",1000001,0.78497672594212,4785.58866133866,-20,84,"Bayesian",NA,"Bayesian (Pooled)"
"21280",1000001,0.752607026462149,6404.74925074925,-20,85,"Bayesian",NA,"Bayesian (Pooled)"
"21477",1000001,0.60272460624092,7698.35136292279,-20,86,"Bayesian",NA,"Bayesian (Pooled)"
"21730",1000001,0.739968415019329,5796.89266289266,-20,87,"Bayesian",NA,"Bayesian (Pooled)"
"21983",1000001,0.684715640511392,7259.6408036408,-20,88,"Bayesian",NA,"Bayesian (Pooled)"
"22152",1000001,0.731062917693498,6257.81085581086,-20,89,"Bayesian",NA,"Bayesian (Pooled)"
"22377",1000001,0.55613904146807,8995.39310689311,-20,8,"Bayesian",NA,"Bayesian (Pooled)"
"22574",1000001,0.788625189280363,5099.8021978022,-20,90,"Bayesian",NA,"Bayesian (Pooled)"
"22827",1000001,0.664212156831759,7858.15029415029,-20,91,"Bayesian",NA,"Bayesian (Pooled)"
"23052",1000001,0.823639137710102,5370.03146853147,-20,92,"Bayesian",NA,"Bayesian (Pooled)"
"23277",1000001,0.755509883428175,6550.71928071928,-20,93,"Bayesian",NA,"Bayesian (Pooled)"
"23474",1000001,0.640201780004604,7690.85229056658,-20,94,"Bayesian",NA,"Bayesian (Pooled)"
"23671",1000001,0.682339077468576,7272.57399743114,-20,95,"Bayesian",NA,"Bayesian (Pooled)"
"23924",1000001,0.69887106998264,6515.12953712954,-20,96,"Bayesian",NA,"Bayesian (Pooled)"
"24205",1000001,0.64941577415643,8669.91568431568,-20,97,"Bayesian",NA,"Bayesian (Pooled)"
