,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
YEL066W,0.526800,-0.093200,0.656800,-0.213200,-0.183200,-0.453200,-0.313200,-0.203200,0.266800,0.106800,0.446800,-0.063200,0.376800,0.226800,0.306800,-0.073200,-0.043200,-0.543200,-0.083200,-0.083200,-0.193200,-0.003200,0.016800,-0.033200,0.116800,0.266800,0.406800,0.056800,-0.053200,-0.083200,-0.293200,-0.633200,-0.413200,0.056800,-0.143200,0.026800,-0.003200,0.126800,-0.083200,0.156800,0.136800
YGR044C,-0.824100,-0.974100,-1.104100,-1.134100,-1.444100,-1.474100,-1.684100,-1.594100,-1.554100,-0.734100,0.165900,0.795900,1.125900,1.005900,0.815900,0.415900,0.035900,-0.684100,-0.334100,-0.814100,-0.894100,-0.794100,0.225900,0.615900,1.035900,0.895900,1.225900,1.015900,0.805900,0.435900,0.235900,-0.404100,0.025900,-0.124100,0.065900,0.575900,0.865900,1.065900,1.065900,1.085900,0.965900
YGR062C,-0.126100,-0.166100,0.183900,-0.146100,-0.186100,-0.466100,-0.486100,-0.346100,0.083900,-0.166100,0.163900,0.053900,0.413900,0.273900,0.113900,0.023900,-0.256100,-0.736100,-0.066100,-0.186100,-0.296100,-0.096100,0.053900,0.033900,0.203900,0.213900,0.433900,0.243900,0.253900,0.153900,-0.126100,-0.646100,-0.116100,0.173900,0.033900,0.043900,0.133900,0.243900,0.273900,0.503900,0.303900
YJL218W,-0.439300,-0.109300,0.070700,0.150700,0.050700,-0.289300,-0.079300,-0.249300,0.100700,0.060700,0.440700,0.530700,1.080700,0.670700,0.690700,0.130700,-0.069300,-0.459300,-0.109300,-0.409300,-0.399300,-0.139300,-0.029300,0.280700,0.260700,0.260700,0.420700,0.240700,-0.119300,-0.069300,-0.429300,-0.439300,-0.479300,-0.199300,-0.499300,-0.189300,-0.179300,0.160700,-0.179300,0.220700,-0.259300
YNL173C,-0.411200,-0.651200,-0.481200,-0.571200,-0.601200,-0.591200,-0.771200,-0.661200,-0.711200,-0.601200,-0.091200,0.058800,0.388800,0.368800,0.408800,0.178800,0.058800,-0.471200,-0.211200,-0.251200,-0.411200,-0.191200,-0.051200,0.188800,0.328800,0.478800,0.618800,0.518800,0.408800,0.328800,0.178800,-0.291200,0.008800,0.308800,0.138800,0.248800,0.448800,0.568800,0.528800,0.748800,0.508800
YNL192W,-0.084400,0.355600,0.045600,0.295600,0.005600,-0.204400,-0.614400,-0.184400,-0.304400,0.015600,0.285600,0.725600,0.745600,0.605600,0.465600,0.075600,-0.184400,-0.684400,-0.174400,-0.674400,-0.464400,-0.214400,0.275600,0.465600,0.475600,0.305600,0.365600,0.365600,-0.004400,-0.304400,-0.524400,-0.904400,-0.364400,-0.534400,-0.284400,0.085600,0.105600,0.265600,0.215600,0.315600,-0.154400
YOL006C,-0.128500,0.331500,0.081500,0.121500,-0.048500,-0.358500,-0.608500,-0.178500,-0.328500,0.031500,0.201500,0.481500,0.611500,0.501500,0.441500,0.081500,-0.028500,-0.608500,-0.128500,-0.178500,-0.208500,0.051500,0.141500,0.321500,0.171500,0.101500,0.201500,0.271500,0.061500,-0.148500,-0.248500,-0.488500,-0.198500,-0.218500,-0.208500,0.131500,0.041500,0.211500,0.021500,-0.008500,-0.288500
YOR342C,0.199300,0.389300,0.159300,0.239300,-0.080700,-0.450700,-0.610700,-0.420700,-0.300700,-0.050700,0.209300,0.329300,0.639300,0.509300,0.539300,0.279300,0.069300,-0.450700,-0.210700,-0.370700,-0.330700,-0.180700,0.049300,0.219300,0.179300,0.199300,0.189300,0.379300,0.099300,-0.200700,-0.270700,-0.530700,-0.250700,-0.210700,-0.270700,0.109300,-0.070700,0.149300,0.009300,0.219300,-0.100700
YGR289C,-0.131200,0.138800,0.028800,0.158800,0.048800,-0.171200,-0.281200,-0.221200,-0.051200,-0.091200,-0.041200,0.058800,0.228800,0.188800,0.338800,-0.021200,-0.111200,-0.541200,0.048800,-0.371200,-0.181200,-0.001200,0.178800,0.118800,0.068800,-0.131200,0.248800,0.208800,0.118800,-0.231200,-0.191200,-0.481200,-0.021200,-0.111200,0.038800,-0.061200,0.168800,0.208800,0.288800,0.458800,0.098800
YLR194C,0.593900,0.443900,0.453900,0.273900,0.223900,-0.006100,-0.046100,-0.096100,-0.206100,0.153900,0.523900,0.553900,0.743900,0.733900,0.403900,0.193900,0.103900,-0.396100,-0.256100,-0.546100,-0.426100,-0.486100,0.083900,0.273900,0.403900,0.273900,0.293900,0.163900,-0.166100,-0.396100,-0.526100,-0.936100,-0.826100,-0.466100,-0.696100,0.113900,-0.076100,0.093900,-0.196100,-0.106100,-0.246100
YMR251W-A,0.814600,0.334600,0.614600,0.264600,0.014600,-0.415400,-0.595400,-0.505400,-0.075400,-0.355400,0.124600,-0.155400,0.264600,-0.085400,0.274600,-0.155400,-0.235400,-0.685400,-0.295400,-0.365400,-0.585400,-0.265400,-0.065400,-0.035400,0.044600,0.224600,0.254600,0.274600,-0.035400,0.264600,-0.365400,-0.355400,0.014600,0.274600,-0.145400,0.354600,-0.005400,0.454600,0.104600,0.534600,0.274600
YGL055W,-0.551700,-0.951700,-0.991700,-0.841700,-0.651700,-0.741700,-0.561700,0.088300,0.448300,0.448300,0.698300,0.628300,0.758300,0.708300,0.658300,0.508300,0.108300,-0.191700,0.018300,-0.171700,-0.121700,-0.191700,0.118300,0.058300,0.208300,0.388300,0.218300,0.178300,-0.121700,-0.061700,-0.361700,-0.711700,-0.191700,0.098300,-0.101700,0.268300,0.028300,0.278300,0.148300,0.228300,0.228300
YLR049C,0.199000,0.479000,0.209000,-0.071000,-0.891000,-1.331000,-1.921000,-1.831000,-1.691000,-0.501000,0.649000,1.409000,1.509000,1.099000,0.879000,0.319000,-0.351000,-0.741000,-0.581000,-1.081000,-1.161000,-0.641000,0.379000,0.779000,0.879000,0.699000,0.749000,0.729000,0.359000,-0.021000,-0.391000,-0.641000,-0.371000,-0.401000,-0.261000,0.469000,0.499000,0.729000,0.679000,0.909000,0.269000
YIL159W,-0.002900,0.627100,0.037100,0.197100,-0.082900,-0.352900,-0.502900,-0.272900,-0.332900,-0.022900,-0.012900,0.367100,0.447100,0.457100,0.427100,-0.002900,0.087100,-0.382900,-0.102900,-0.412900,-0.192900,-0.072900,-0.012900,0.137100,0.047100,0.007100,0.167100,0.307100,0.067100,-0.132900,-0.182900,-0.252900,-0.072900,-0.252900,-0.142900,0.177100,-0.042900,0.287100,0.037100,0.197100,-0.232900
